plot,plot_section,plot_section_label,month_order,month,species,n_outplants,percent_prevalence,total_outplant_area_m2,percent_cover_within_outplants,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m
Plot G,all,Plot G,2,April,Orbicella annularis,18,40,0.03077724999999999,52.160410134734335,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,2,April,Porites porites,27,60,0.028227750000000003,47.83958986526567,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,3,May,Orbicella annularis,18,40,0.031317500000000005,52.85364093952653,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,3,May,Porites porites,27,60,0.027935750000000002,47.14635906047347,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,4,August,Orbicella annularis,17,38.63636363636363,0.03214575,51.34078658414853,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot G,all,Plot G,4,August,Porites porites,27,61.36363636363637,0.030466749999999997,48.65921341585146,29,20,38,18,8.8392,6.096,11.5824,5.4864
Plot H,all,Plot H,2,April,Orbicella annularis,18,47.36842105263158,0.03221375,65.38937774665327,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
Plot H,all,Plot H,2,April,Porites porites,20,52.63157894736842,0.017050750000000003,34.61062225334673,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
Plot H,all,Plot H,3,May,Orbicella annularis,19,46.34146341463415,0.036946,64.8391569119531,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
Plot H,all,Plot H,3,May,Porites porites,22,53.65853658536585,0.020035000000000004,35.160843088046896,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
Plot H,all,Plot H,4,August,Orbicella annularis,18,45,0.037544,68.7304347826087,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
Plot H,all,Plot H,4,August,Porites porites,22,55,0.017081,31.269565217391303,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912
