plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,1,May,June,39,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.6675,5.4775,4.6675000000000004e-4,5.4775e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,4,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.8675,5.025,3.8675e-4,5.025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,40,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.6725,5.73,4.6725000000000005e-4,5.73e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,41,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.735,5.45,4.735e-4,5.45e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,42,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,5.0075,6.2425,5.0075e-4,6.2425e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,43,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,5.5875,6.1525,5.5875e-4,6.1525e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,44,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.7475,4.745,3.7475000000000003e-4,4.745e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,45,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.7825,5.985,4.7825e-4,5.985000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,46,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.155,5.115,4.155e-4,5.115e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,47,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,5.5025,4.69,5.502500000000001e-4,4.69e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,48,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,2.5825,2.3325,2.5825e-4,2.3325e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,49,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,5.4525,5.37,5.452499999999999e-4,5.37e-4,TRUE,TRUE,TRUE,FALSE,FALSE
