plot,month_order,month,observation_source,genet,species,is_baseline_genet,present,surviving_from_baseline,died_from_baseline_this_month,area,area_m2,plot_area_m2,percent_cover_of_plot,taglab_area_units
Plot E,2,June,interval_end,21,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,28.825000000000003,0.0028825,480,6.005208333333333e-4,cm2
Plot E,2,June,interval_end,22,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,3.3275,3.3275000000000004e-4,480,6.932291666666668e-5,cm2
Plot E,2,June,interval_end,23,Acropora palmata,TRUE,FALSE,FALSE,TRUE,0,0,480,0,cm2
Plot E,2,June,interval_end,24,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,0.485,4.85e-5,480,1.0104166666666667e-5,cm2
Plot E,2,June,interval_end,25,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,8.975,8.975000000000001e-4,480,1.869791666666667e-4,cm2
Plot E,2,June,interval_end,26,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,2.425,2.4249999999999999e-4,480,5.0520833333333326e-5,cm2
Plot E,2,June,interval_end,27,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,4.1675,4.1675e-4,480,8.682291666666668e-5,cm2
Plot E,2,June,interval_end,28,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,7.89,7.89e-4,480,1.64375e-4,cm2
Plot E,2,June,interval_end,29,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,1.2075,1.2075000000000001e-4,480,2.515625e-5,cm2
Plot E,2,June,interval_end,3,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.4275,4.4275e-4,480,9.223958333333333e-5,cm2
Plot E,2,June,interval_end,30,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,0.6725,6.725e-5,480,1.4010416666666666e-5,cm2
Plot E,2,June,interval_end,31,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,10.4,0.0010400000000000001,480,2.1666666666666668e-4,cm2
Plot E,2,June,interval_end,32,Acropora palmata,TRUE,TRUE,TRUE,FALSE,207.315,0.0207315,480,0.0043190625,cm2
Plot E,2,June,interval_end,33,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,3.01,3.01e-4,480,6.270833333333333e-5,cm2
Plot E,2,June,interval_end,34,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,3.525,3.525e-4,480,7.34375e-5,cm2
Plot E,2,June,interval_end,35,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,0.6225,6.225000000000001e-5,480,1.2968750000000002e-5,cm2
Plot E,2,June,interval_end,36,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,1.625,1.625e-4,480,3.3854166666666665e-5,cm2
Plot E,2,June,interval_end,38,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.04,6.04e-4,480,1.2583333333333335e-4,cm2
Plot E,2,June,interval_end,39,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.4775,5.4775e-4,480,1.1411458333333332e-4,cm2
Plot E,2,June,interval_end,4,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.025,5.025e-4,480,1.046875e-4,cm2
Plot E,2,June,interval_end,40,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.73,5.73e-4,480,1.19375e-4,cm2
Plot E,2,June,interval_end,41,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.45,5.45e-4,480,1.1354166666666667e-4,cm2
Plot E,2,June,interval_end,42,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.2425,6.2425e-4,480,1.3005208333333334e-4,cm2
Plot E,2,June,interval_end,43,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,6.1525,6.1525e-4,480,1.2817708333333333e-4,cm2
Plot E,2,June,interval_end,44,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.745,4.745e-4,480,9.885416666666666e-5,cm2
Plot E,2,June,interval_end,45,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.985,5.985000000000001e-4,480,1.2468750000000002e-4,cm2
Plot E,2,June,interval_end,46,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.115,5.115e-4,480,1.0656250000000001e-4,cm2
Plot E,2,June,interval_end,47,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,4.69,4.69e-4,480,9.770833333333334e-5,cm2
Plot E,2,June,interval_end,48,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,2.3325,2.3325e-4,480,4.8593750000000005e-5,cm2
Plot E,2,June,interval_end,49,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,5.37,5.37e-4,480,1.1187500000000001e-4,cm2
Plot E,2,June,interval_end,5,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.9525,4.952499999999999e-4,480,1.0317708333333332e-4,cm2
Plot E,2,June,interval_end,50,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,4.6675,4.6675000000000004e-4,480,9.723958333333333e-5,cm2
Plot E,2,June,interval_end,51,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,6.32,6.320000000000001e-4,480,1.3166666666666668e-4,cm2
Plot E,2,June,interval_end,52,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,16.25,0.001625,480,3.385416666666667e-4,cm2
Plot E,2,June,interval_end,53,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,5.4325,5.4325e-4,480,1.1317708333333333e-4,cm2
Plot E,2,June,interval_end,54,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,5.1175,5.117499999999999e-4,480,1.0661458333333332e-4,cm2
Plot E,2,June,interval_end,55,Orbicella faveolata,TRUE,TRUE,TRUE,FALSE,9.13,9.130000000000001e-4,480,1.9020833333333335e-4,cm2
Plot E,2,June,interval_end,56,Orbicella faveolata,TRUE,TRUE,TRUE,FALSE,5.18,5.18e-4,480,1.0791666666666667e-4,cm2
Plot E,2,June,interval_end,57,Orbicella faveolata,TRUE,TRUE,TRUE,FALSE,6.04,6.04e-4,480,1.2583333333333335e-4,cm2
Plot E,2,June,interval_end,58,Acropora palmata,TRUE,TRUE,TRUE,FALSE,16.9925,0.00169925,480,3.5401041666666664e-4,cm2
Plot E,2,June,interval_end,59,Acropora palmata,TRUE,TRUE,TRUE,FALSE,16.4075,0.0016407499999999998,480,3.418229166666666e-4,cm2
Plot E,2,June,interval_end,6,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,3.975,3.975e-4,480,8.28125e-5,cm2
Plot E,2,June,interval_end,60,Acropora palmata,TRUE,TRUE,TRUE,FALSE,19.62,0.001962,480,4.0875000000000004e-4,cm2
Plot E,2,June,interval_end,61,Acropora palmata,TRUE,TRUE,TRUE,FALSE,9.985,9.985e-4,480,2.0802083333333336e-4,cm2
Plot E,2,June,interval_end,62,Acropora palmata,TRUE,TRUE,TRUE,FALSE,14.03,0.001403,480,2.9229166666666667e-4,cm2
Plot E,2,June,interval_end,7,Acropora palmata,TRUE,FALSE,FALSE,TRUE,0,0,480,0,cm2
Plot E,2,June,interval_end,8,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.1375,5.1375e-4,480,1.0703124999999999e-4,cm2
Plot E,2,June,interval_end,9,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,5.15,5.15e-4,480,1.0729166666666668e-4,cm2
Plot E,3,July,interval_end,0,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,0.4325,4.325e-5,480,9.010416666666666e-6,cm2
Plot E,3,July,NA,10,Acropora palmata,TRUE,FALSE,FALSE,FALSE,0,0,NA,NA,NA
Plot E,3,July,interval_end,11,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.0925,4.0925e-4,480,8.526041666666667e-5,cm2
Plot E,3,July,NA,12,Acropora palmata,TRUE,FALSE,FALSE,FALSE,0,0,NA,NA,NA
Plot E,3,July,interval_end,13,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,2.3,2.2999999999999998e-4,480,4.791666666666667e-5,cm2
Plot E,3,July,interval_end,14,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.695,4.6950000000000003e-4,480,9.781250000000001e-5,cm2
Plot E,3,July,NA,15,Acropora palmata,TRUE,FALSE,FALSE,FALSE,0,0,NA,NA,NA
Plot E,3,July,interval_end,16,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,8.3075,8.307499999999999e-4,480,1.7307291666666662e-4,cm2
Plot E,3,July,NA,17,Acropora palmata,TRUE,FALSE,FALSE,FALSE,0,0,NA,NA,NA
Plot E,3,July,interval_end,18,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,2.83,2.83e-4,480,5.895833333333333e-5,cm2
Plot E,3,July,interval_end,19,Orbicella annularis,TRUE,TRUE,TRUE,FALSE,7.6525,7.652500000000001e-4,480,1.5942708333333336e-4,cm2
Plot E,3,July,interval_end,2,Orbicella franksi,TRUE,TRUE,TRUE,FALSE,4.9825,4.9825e-4,480,1.0380208333333334e-4,cm2
