source_file,logger_location,date_time,date,temperature_c
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T08:54:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:04:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:14:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:24:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:34:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:44:56Z,2025-03-14,27.24
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T09:54:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:04:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:14:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:24:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:34:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:44:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T10:54:56Z,2025-03-14,27.24
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:04:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:14:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:24:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:34:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:44:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T11:54:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:04:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:14:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:44:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T12:54:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:04:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:14:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:24:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:34:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:44:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T13:54:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:04:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:14:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:24:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:44:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T14:54:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:04:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:14:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:24:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:34:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:44:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T15:54:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:04:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:14:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:24:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:34:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:44:56Z,2025-03-14,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T16:54:56Z,2025-03-14,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:04:56Z,2025-03-14,27.54
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:14:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:24:56Z,2025-03-14,27.41
